HYPERPARAMETERS OF EACH ITERATION:
|   iter    |  target   | baggin... | baggin... | featur... | lambda_l1 | lambda_l2 | min_ch... | num_le... |
|  140      |  0.9994   |  0.7527   |  5.507    |  0.6139   |  3.552    |  4.022    |  60.09    |  58.56    |
|  141      |  0.9994   |  0.8664   |  1.798    |  0.8097   |  6.213    |  3.523    |  11.11    |  159.6    |
|  142      |  0.9993   |  0.4014   |  3.882    |  0.4698   |  9.011    |  4.509    |  36.41    |  192.5    |
|  143      |  0.9994   |  0.5938   |  3.319    |  0.606    |  0.2144   |  7.159    |  85.81    |  225.3    |
|  144      |  0.9994   |  0.8321   |  3.214    |  0.7327   |  9.768    |  8.899    |  68.42    |  230.6    |
|  145      |  0.9994   |  0.5648   |  1.345    |  0.8375   |  2.212    |  6.208    |  63.05    |  195.6    |
|  146      |  0.9994   |  0.7456   |  3.184    |  0.5067   |  0.4343   |  4.245    |  66.2     |  31.76    |
|  147      |  0.9993   |  0.46     |  3.489    |  0.5803   |  9.564    |  4.836    |  44.59    |  167.1    |
|  148      |  0.9994   |  0.5502   |  5.054    |  0.8807   |  9.323    |  4.193    |  27.73    |  214.5    |
|  149      |  0.9995   |  0.7577   |  1.864    |  0.996    |  0.393    |  7.841    |  77.97    |  196.2    |
|  150      |  0.9993   |  0.866    |  1.517    |  0.5078   |  9.237    |  3.129    |  79.52    |  27.13    |
|  151      |  0.9993   |  0.4095   |  2.461    |  0.5546   |  5.484    |  7.687    |  78.93    |  76.62    |
|  152      |  0.9995   |  0.4855   |  3.391    |  0.7466   |  0.8352   |  2.716    |  44.66    |  132.9    |
|  153      |  0.9994   |  0.437    |  6.108    |  0.6544   |  6.892    |  7.081    |  88.1     |  188.6    |
|  154      |  0.9994   |  0.5282   |  5.033    |  0.908    |  1.49     |  9.348    |  65.96    |  74.44    |
|  155      |  0.9994   |  0.5106   |  4.196    |  0.9537   |  7.353    |  7.92     |  6.813    |  95.69    |
|  156      |  0.9993   |  0.7548   |  4.071    |  0.5055   |  3.735    |  3.245    |  87.2     |  200.5    |
|  157      |  0.9993   |  0.554    |  2.762    |  0.4457   |  7.218    |  0.9772   |  37.86    |  113.7    |
|  158      |  0.9993   |  0.5615   |  1.537    |  0.5151   |  9.295    |  8.351    |  61.03    |  173.5    |
|  159      |  0.9994   |  0.7369   |  4.403    |  0.6664   |  1.05     |  9.038    |  61.71    |  195.4    |
|  160      |  0.9994   |  0.6645   |  6.923    |  0.7427   |  2.392    |  7.2      |  99.23    |  147.2    |
